timestamp,ticker,name,side,quantity,price,notional,reason
2026-05-12T01:50:00+09:00,000660,SK하이닉스,BUY,2,1750000,3500000,entry_zone
2026-05-12T01:50:00+09:00,005930,삼성전자,BUY,21,275000,5775000,entry_zone
2026-05-12T01:50:00+09:00,018260,삼성SDS,BUY,21,171000,3591000,entry_zone
2026-05-12T09:00:00+09:00,011790,SKC,BUY,25,154500,3862500,entry_zone
2026-05-18T09:00:00+09:00,329180,HD현대중공업,BUY,6,635000,3810000,entry_zone
2026-05-21T09:00:00+09:00,329180,HD현대중공업,SELL,6,574000,3444000,stop_loss_breach
2026-05-22T00:00:00+09:00,005930,삼성전자,SELL,21,295000,6195000,user_directed_close
2026-05-22T09:00:00+09:00,006800,미래에셋증권,BUY,50,68800,3440000,entry_zone
2026-05-28T00:00:00+09:00,000660,SK하이닉스,SELL,2,1940000,3880000,user_directed_close
2026-05-29T09:00:00+09:00,011790,SKC,SELL,25,123700,3092500,stop_loss_breach
2026-06-04T01:54:48+09:00,018260,삼성SDS,SELL,10,300500,3005000,target_hit
2026-06-08T09:33:34+09:00,018260,삼성SDS,SELL,5,225000,1125000,target_hit
2026-06-08T09:33:34+09:00,006800,미래에셋증권,SELL,50,50400,2520000,stop_loss_breach
2026-06-10T12:52:00+09:00,006800,미래에셋증권,BUY,36,51500,1854000,entry_zone
